angle,SVMaxPriCur,SVMinPriCur,SVGaussCur,SVAveCur,SVSDF,EVMaxPriCur,EVMinPriCur,EVGaussCur,EVAveCur,EVSDF,Lable
113.860351,4520.384699,-1337.926371,-6047941.895,1591.229164,0.572442,1627.652475,-4206.911462,-6847389.853,-1289.629494,1.093916,1
104.124526,4606.71609,-1522.778706,-7015009.164,1541.968692,1.199044,507.739637,-168.690049,-85650.62438,169.524794,1.666247,1
88.604902,3314.373738,-1103.132967,-3656194.935,1105.620386,1.01473,4633.257365,-13895.1183,-64379659.2,-4630.930467,1.037531,1
108.985721,2129.324971,-599.771734,-1277108.93,764.776618,1.08796,2892.937185,-8396.134574,-24289489.92,-2751.598694,1.189527,1
88.512001,1390.846174,-457.988948,-636992.1764,466.428613,13.455397,169.864773,-203.071054,-34494.61848,-16.60314,2.538408,1
17.058832,1269.829874,-422.32193,-536277.0036,423.753972,24.158672,83.184043,-244.917501,-20373.22806,-80.866729,14.410277,1
21.970776,1216.571345,-404.184101,-491718.7951,406.193622,15.219382,446.154942,-1345.921073,-600489.3387,-449.883065,5.238474,1
68.022353,1081.805565,-314.238466,-339944.9219,383.783549,0.398729,3309.504189,-9797.719319,-32425593.13,-3244.107565,0.42556,1
82.469757,984.422524,-274.351281,-270077.5809,355.035622,2.412557,2074.078688,-5841.629487,-12115999.22,-1883.7754,2.452141,1
84.682873,823.15959,-153.414829,-126284.8879,334.87238,5.56765,1270.948656,-3465.1754,-4404060.017,-1097.113372,2.56168,1
60.678849,837.804441,-238.129187,-199505.6902,299.837627,26.965861,42.900823,-13.365104,-573.373966,14.76786,6.263037,1
98.620623,443.02489,111.378887,49343.61919,277.201889,1.295991,2526.233862,-788.193043,-1991159.955,869.02041,0.654493,1
68.161341,703.986208,-214.125741,-150741.5684,244.930233,7.2683,14.423117,0.311944,4.499204,7.36753,5.705852,1
78.14024,651.295094,-182.907699,-119126.8872,234.193698,2.41203,1341.077467,-3840.584466,-5150521.29,-1249.7535,2.079889,1
67.80987,613.200614,-160.939697,-98688.3208,226.130459,0.398598,583.056021,-1226.230551,-714961.106,-321.587265,0.378473,1
79.184401,598.043476,-154.696184,-92515.04328,221.673646,31.871917,50.4844,-21.259633,-1073.279844,14.612384,30.843457,1
98.467475,590.094687,-191.57958,-113050.0924,199.257553,2.125864,1340.132733,-3978.085934,-5331163.176,-1318.9766,1.572449,1
87.538305,539.944702,-179.181153,-96747.91406,180.381775,1.343674,1010.982997,-3029.993507,-3063271.917,-1009.505255,0.994471,1
98.399432,337.389209,17.522735,5911.981811,177.455972,1.653002,1861.271547,-5091.449036,-9476569.223,-1615.088745,0.273602,1
70.694903,498.364015,-153.986198,-76741.17972,172.188909,1.723683,921.014257,-2698.026646,-2484921.006,-888.506195,2.11698,1
74.174067,485.38936,-144.940748,-70352.69665,170.224306,1.92056,1003.942024,-2901.743344,-2913182.085,-948.90066,2.176115,1
101.566999,507.739637,-168.690049,-85650.62438,169.524794,1.666247,563.954231,-1690.912079,-953597.0205,-563.478924,2.110416,1
93.058913,471.802087,-156.511131,-73842.27827,157.645478,1.75733,885.274245,-2653.57277,-2349139.631,-884.149262,1.238688,1
93.696484,449.889982,-148.854087,-66967.96233,150.517948,1.40156,1095.867557,-3281.838653,-3596460.508,-1092.985548,1.603057,1
116.536005,251.821448,46.356162,11673.47577,149.088805,0.78862,238.150244,-131.804564,-31389.28901,53.17284,0.626112,1
98.300019,314.561502,-37.637014,-11839.15567,138.462244,2.761444,772.864092,124.175069,95970.45207,448.51958,0.604804,1
98.522012,303.364326,-40.839643,-12389.29083,131.262341,0.661099,314.561502,-37.637014,-11839.15567,138.462244,2.761444,1
107.311684,195.052009,55.417967,10809.3858,125.234988,1.634,1461.817169,-3768.466447,-5508808.952,-1153.324639,1.216837,1
116.354429,232.362637,-3.290217,-764.52355,114.53621,0.999996,329.870335,-513.689493,-169450.9251,-91.909579,0.797131,1
41.660969,255.552703,-61.491166,-15714.23359,97.030769,6.288324,448.550756,-1267.860142,-568699.6246,-409.654693,43.492893,1
98.697078,549.756735,-378.939283,-208324.4227,85.408726,0.445213,557.628446,-439.393524,-245018.3281,59.117461,0.444058,1
84.190816,250.884039,-82.633041,-20731.31117,84.125499,0.84771,512.343327,-1518.93616,-778216.8064,-503.296416,0.713471,1
97.36307,168.56106,-3.493657,-588.894566,82.533702,0.95871,105.868129,-27.350298,-2895.524863,39.258915,3.219632,1
98.195523,167.498643,-14.046486,-2352.76727,76.726079,0.441189,845.203637,-1538.116823,-1300021.933,-346.456593,0.604868,1
76.07455,148.566933,-7.556266,-1122.611251,70.505333,0.692346,90.373469,-28.941897,-2615.579604,30.715786,0.842416,1
111.300772,179.081905,-38.120387,-6826.671461,70.480759,0.761121,704.442357,-1812.568889,-1276850.3,-554.063266,0.642372,1
79.225351,93.288677,37.929163,3538.361485,65.60892,2.136403,651.169653,-1611.208559,-1049170.118,-480.019453,2.180066,1
98.692498,557.628446,-439.393524,-245018.3281,59.117461,0.444058,443.02489,111.378887,49343.61919,277.201889,1.295991,1
114.819972,169.633645,-51.876701,-8800.033845,58.878472,0.576366,2965.758574,-8358.455707,-24789161.68,-2696.348567,0.540777,1
79.227426,89.157357,14.057714,1253.348649,51.607536,2.169264,171.709967,-205.431963,-35274.71543,-16.860998,2.170004,1
79.303908,153.736717,-53.84177,-8277.457036,49.947474,1.296197,121.928531,-227.604125,-27751.43664,-52.837797,2.749582,1
103.236997,162.340196,-65.644432,-10656.72993,48.347882,1.684863,834.907906,-2211.941657,-1846767.576,-688.516876,1.202752,1
97.034831,105.868129,-27.350298,-2895.524863,39.258915,3.219632,33.749339,-47.959768,-1618.610479,-7.105215,1.078796,1
42.34006,116.400721,-38.536166,-4485.637457,38.932278,31.205905,325.458803,-972.659789,-316560.6905,-323.600493,6.391687,1
90.000019,106.046747,-35.820253,-3798.621307,35.113247,30.800201,77.488477,-32.87552,-2547.473992,22.306478,30.748357,1
90.000019,109.195169,-39.059936,-4265.156301,35.067616,30.888179,112.308705,-42.236901,-4743.571659,35.035902,22.786264,1
90.000019,112.308705,-42.236901,-4743.571659,35.035902,22.786264,113.589523,-43.563253,-4948.329078,35.013135,22.780441,1
90.000019,109.58093,-39.533784,-4332.148779,35.023573,31.190816,106.046747,-35.820253,-3798.621307,35.113247,30.800201,1
90.000019,113.589523,-43.563253,-4948.329078,35.013135,22.780441,112.460654,-42.460796,-4775.168932,34.999929,30.81663,1
90.000019,112.460654,-42.460796,-4775.168932,34.999929,30.81663,109.58093,-39.533784,-4332.148779,35.023573,31.190816,1
90.000019,105.825692,-40.566068,-4292.93222,32.629812,23.386211,83.838303,-20.283055,-1700.496912,31.777624,31.758889,1
90.000019,83.838303,-20.283055,-1700.496912,31.777624,31.758889,111.386534,-50.286241,-5601.210056,30.550147,5.231232,1
90.000019,98.577373,-37.006894,-3648.04238,30.78524,23.388604,105.825692,-40.566068,-4292.93222,32.629812,23.386211,1
90.000019,75.306237,-13.761152,-1036.300604,30.772543,31.202787,80.271261,-24.156539,-1939.075863,28.057361,31.328372,1
76.43832,90.373469,-28.941897,-2615.579604,30.715786,0.842416,91.794651,9.223991,846.713046,50.509321,0.901759,1
90.000019,111.386534,-50.286241,-5601.210056,30.550147,5.231232,184.128549,-79.557293,-14648.76884,52.285628,4.825056,1
90.000019,90.043721,-32.063413,-2887.109051,28.990154,31.261874,98.577373,-37.006894,-3648.04238,30.78524,23.388604,1
